 HEX |   BINARY   |  OCT  |  2nd BYTE   |    BYTES 3,4,5,6     |    ASM-86 INSTRUCTION FORMAT
  80 | 1000  0000 |  200  | MOD 011 R/M | (DISP-LO),(DISP-HI), | SBB     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  80 | 1000  0000 |  200  | MOD 100 R/M | (DISP-LO),(DISP-HI), | AND     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  80 | 1000  0000 |  200  | MOD 101 R/M | (DISP-LO),(DISP-HI), | SUB     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  80 | 1000  0000 |  200  | MOD 110 R/M | (DISP-LO),(DISP-HI), | XOR     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  80 | 1000  0000 |  200  | MOD 111 R/M | (DISP-LO),(DISP-HI), | CMP     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
     |            |       |             |                      |
  81 | 1000  0001 |  201  | MOD 000 R/M | (DISP-LO),(DISP-HI), | ADD     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 001 R/M | (DISP-LO),(DISP-HI), | OR      REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 010 R/M | (DISP-LO),(DISP-HI), | ADC     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 011 R/M | (DISP-LO),(DISP-HI), | SBB     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 100 R/M | (DISP-LO),(DISP-HI), | AND     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 101 R/M | (DISP-LO),(DISP-HI), | SUB     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 110 R/M | (DISP-LO),(DISP-HI), | XOR     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
  81 | 1000  0001 |  201  | MOD 111 R/M | (DISP-LO),(DISP-HI), | CMP     REG16/MEM16,IMMED16
     |            |       |             |     DATA-LO,DATA-HI  |
     |            |       |             |                      |
  82 | 1000  0010 |  202  | MOD 000 R/M | (DISP-LO),(DISP-HI), | ADD     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  82 | 1000  0010 |  202  | MOD 001 R/M |                      | (not used)
  82 | 1000  0010 |  202  | MOD 010 R/M | (DISP-LO),(DISP-HI), | ADC     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  82 | 1000  0010 |  202  | MOD 011 R/M | (DISP-LO),(DISP-HI), | SBB     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  82 | 1000  0010 |  202  | MOD 100 R/M |                      | (not used)
  82 | 1000  0010 |  202  | MOD 101 R/M | (DISP-LO),(DISP-HI), | SUB     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
  82 | 1000  0010 |  202  | MOD 110 R/M |                      | (not used)
  82 | 1000  0010 |  202  | MOD 111 R/M | (DISP-LO),(DISP-HI), | CMP     REG8/MEM8,IMMED8
     |            |       |             |     DATA-8           |
     |            |       |             |                      |
  83 | 1000  0011 |  203  | MOD 000 R/M | (DISP-LO),(DISP-HI), | ADD     REG16/MEM16,IMMED8
     |            |       |             |     DATA-SX          |
  83 | 1000  0011 |  203  | MOD 001 R/M |                      | (not used)
  83 | 1000  0011 |  203  | MOD 010 R/M | (DISP-LO),(DISP-HI), | ADC     REG16/MEM16,IMMED8
     |            |       |             |     DATA-SX          |
  83 | 1000  0011 |  203  | MOD 011 R/M | (DISP-LO),(DISP-HI), | SBB     REG16/MEM16,IMMED8
     |            |       |             |     DATA-SX          |
  83 | 1000  0011 |  203  | MOD 100 R/M |                      | (not used)
  83 | 1000  0011 |  203  | MOD 101 R/M | (DISP-LO),(DISP-HI), | SUB     REG16/MEM16,IMMED8
     |            |       |             |     DATA-SX          |
  83 | 1000  0011 |  203  | MOD 110 R/M |                      | (not used)
  83 | 1000  0011 |  203  | MOD 111 R/M | (DISP-LO),(DISP-HI), | CMP     REG16/MEM16,IMMED8
     |            |       |             |     DATA-SX          |
     |            |       |             |                      |
  84 | 1000  0100 |  204  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | TEST    REG8/MEM8,REG8
  85 | 1000  0101 |  205  | MOD 001 R/M | (DISP-LO),(DISP-HI)  | TEST    REG16/MEM16,REG16
  86 | 1000  0110 |  206  | MOD 010 R/M | (DISP-LO),(DISP-HI)  | XCHG    REG8,REG8/MEM8
  87 | 1000  0111 |  207  | MOD 011 R/M | (DISP-LO),(DISP-HI)  | XCHG    REG16,REG16/MEM16
  88 | 1000  1000 |  210  | MOD 100 R/M | (DISP-LO),(DISP-HI)  | MOV     REG8/MEM8,REG8
  89 | 1000  1001 |  211  | MOD 101 R/M | (DISP-LO),(DISP-HI)  | MOV     REG16/MEM16,REG16
  8A | 1000  1010 |  212  | MOD 110 R/M | (DISP-LO),(DISP-HI)  | MOV     REG8,REG8/MEM8
  8B | 1000  1011 |  213  | MOD 111 R/M | (DISP-LO),(DISP-HI)  | MOV     REG16,REG16/MEM16
     |            |       |             |                      |
  8C | 1000  1100 |  214  | MOD 0SR R/M | (DISP-LO),(DISP-HI)  | MOV     REG16/MEM16,SEGREG
  8C | 1000  1100 |  214  | MOD 1-- R/M |                      | (not used)
     |            |       |             |                      |
  8D | 1000  1101 |  215  | MOD REG R/M | (DISP-LO),(DISP-HI)  | LEA     REG16,MEM16
     |            |       |             |                      |
  8E | 1000  1110 |  216  | MOD 0SR R/M | (DISP-LO),(DISP-HI)  | MOV     SEGREG,REG16/MEM16
  8E | 1000  1110 |  216  | MOD 1-- R/M |                      | (not used)
     |            |       |             |                      |
  8F | 1000  1111 |  217  | MOD 000 R/M | (DISP-LO),(DISP-HI)  | POP     REG16/MEM16
  8F | 1000  1111 |  217  | MOD 001 R/M |                      | (not used)
  8F | 1000  1111 |  217  | MOD 010 R/M |                      | (not used)
  8F | 1000  1111 |  217  | MOD 011 R/M |                      | (not used)
  8F | 1000  1111 |  217  | MOD 100 R/M |                      | (not used)
  8F | 1000  1111 |  217  | MOD 101 R/M |                      | (not used)
  8F | 1000  1111 |  217  | MOD 110 R/M |                      | (not used)
  8F | 1000  1111 |  217  | MOD 111 R/M |                      | (not used)
     |            |       |             |                      |
  90 | 1001  0000 |  220  |             |                      | NOP     (exchange AX,AX)
  91 | 1001  0001 |  221  |             |                      | XCHG    AX,CX
  92 | 1001  0010 |  222  |             |                      | XCHG    AX,DX
  93 | 1001  0011 |  223  |             |                      | XCHG    AX,BX
  94 | 1001  0100 |  224  |             |                      | XCHG    AX,SP
  95 | 1001  0101 |  225  |             |                      | XCHG    AX,BP
  96 | 1001  0110 |  226  |             |                      | XCHG    AX,SI
  97 | 1001  0111 |  227  |             |                      | XCHG    AX,DI
  98 | 1001  1000 |  230  |             |                      | CBW
  99 | 1001  1001 |  231  |             |                      | CWD
  9A | 1001  1010 |  232  | DISP-LO     | DISP-HI,SEG-LO,      | CALL    FAR-PROC
     |            |       |             |     SEG-HI           |
  9B | 1001  1011 |  233  |             |                      | WAIT
  9C | 1001  1100 |  234  |             |                      | PUSHF
  9D | 1001  1101 |  235  |             |                      | POPF
  9E | 1001  1110 |  236  |             |                      | SAHF
  9F | 1001  1111 |  237  |             |                      | LAHF
  A0 | 1010  0000 |  240  | ADDR-LO     | ADDR-HI              | MOV     AL,MEM8
